sele_day,sale_dayofweek,sale_month
1,4,4
2,5,4
3,6,4
4,0,4
5,1,4
6,2,4
7,3,4
8,4,4
9,5,4
10,6,4
11,0,4
12,1,4
13,2,4
14,3,4
15,4,4
16,5,4
17,6,4
18,0,4
19,1,4
20,2,4
21,3,4
22,4,4
23,5,4
24,6,4
25,0,4
26,1,4
27,2,4
28,3,4
29,4,4
30,5,4
